Semester,Date,Day,Time,Room,Course
1,28/8/2025,ΠΕΜΠΤΗ,15-18,Α.Φ.Ε.,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ
1,30/8/2025,ΣΑΒΒΑΤΟ,15-18,Α.Φ.Ε.,ΛΟΓΙΣΜΟΣ ΣΥΝΑΡΤΗΣΕΩΝ ΜΙΑΣ ΜΕΤΑΒΛΗΤΗΣ
1,1/9/2025,ΔΕΥΤΕΡΑ,15-18,Α.Φ.Ε.,ΕΦΑΡΜΟΣΜΕΝΗ ΦΥΣΙΚΗ/ΦΥΣΙΚΗ ΙΙ Π.Π.Σ.
1,2/9/2025,ΤΡΙΤΗ,12-15,ΗΛ4,"ΑΓΓΛΙΚΑ, ΑΓΓΛΙΚΑ Ι"
1,2/9/2025,ΤΡΙΤΗ,12-15,ΗΛ4,"ΓΕΡΜΑΝΙΚΑ,ΓΕΡΜΑΝΙΚΑ Ι"
1,2/9/2025,ΤΡΙΤΗ,12-15,ΗΛ4,"ΓΑΛΛΙΚΑ,ΓΑΛΛΙΚΑ Ι"
1,3/9/2025,ΤΕΤΑΡΤΗ,15-18,Α.Φ.Ε.,ΨΗΦΙΑΚΗ ΛΟΓΙΚΗ/ΕΙΣΑΓΩΓΗ ΣΤΗ ΨΗΦΙΑΚΗ
1,5/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,Α.Φ.Ε.,ΕΙΣΑΓΩΓΗ ΣΤΟΥΣ ΥΠΟΛΟΓΙΣΤΕΣ
1,8/9/2025,ΔΕΥΤΕΡΑ,15-19,Α.Φ.Ε.,ΣΥΓΧΡΟΝΗ ΦΥΣΙΚΗ /ΦΥΣΙΚΗ Ι Π.Π.Σ.
3,27/8/2025,ΤΕΤΑΡΤΗ,13-15,ΚΥΠΕΣ,ΕΡΓΑΣΤΗΡΙΟ ΨΗΦΙΑΚΑ ΚΥΚΛΩΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ
3,27/8/2025,ΤΕΤΑΡΤΗ,17-19,ΚΥΠΕΣ,ΕΡΓΑΣΤΗΡΙΟ ΗΛΕΚΤΡΙΚΑ ΚΥΚΛΩΜΑΤΑ Ι & ΙΙ
3,28/8/2025,ΠΕΜΠΤΗ,9-15,ΚΥΠΕΣ,ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΕΦΗΣ ΤΕΧΝΟΛΟΓΙΑ
3,30/8/2025,ΣΑΒΒΑΤΟ,12-15,Α.Φ.Ε.,ΨΗΦΙΑΚΑ ΚΥΚΛΩΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ
3,2/9/2025,ΤΡΙΤΗ,12-15,Α.Φ.Ε.,ΠΙΘΑΝΟΘΕΩΡΙΑ & ΣΤΑΤΙΣΤΙΚΗ
3,4/9/2025,ΠΕΜΠΤΗ,9-15,Α.Φ.Ε.,ΗΛΕΚΤΡΟΤΕΧΝΙΚΑ-ΗΛΕΚΤΡΟΝΙΚΑ ΥΛΙΚΑ
3,8/9/2025,ΔΕΥΤΕΡΑ,9-12,Α.Φ.Ε.,ΗΛΕΚΤΡΙΚΑ ΚΥΚΛΩΜΑΤΑ ΙΙ
3,9/9/2025,ΤΡΙΤΗ,12-15,Α.Φ.Ε.,ΜΕΡΙΚΕΣ ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ & ΜΕΤΑΣΧΗΜΑΤΙΣΜΟΙ
5,27/8/2025,ΤΕΤΑΡΤΗ,11-13,ΚΥΠΕΣ,ΕΡΓΑΣΤΗΡΙΟ ΣΥΣΤΗΜΑΤΑ ΕΠΙΚΟΙΝΩΝΙΩΝ
5,28/8/2025,ΠΕΜΠΤΗ,9-12,ΗΛ4,ΣΥΣΤΗΜΑΤΑ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ
5,30/8/2025,ΣΑΒΒΑΤΟ,9-12,Α.Φ.Ε.,ΟΛΟΚΛΗΡΩΜΕΝΑ ΗΛΕΚΤΡΟΝΙΚΑ
5,1/9/2025,ΔΕΥΤΕΡΑ,9-12,Α.Φ.Ε.,ΑΡΙΘΜΗΤΙΚΗ ΑΝΑΛΥΣΗ
5,3/9/2025,ΤΕΤΑΡΤΗ,9-12,Α.Φ.Ε.,ΣΥΣΤΗΜΑΤΑ ΕΠΙΚΟΙΝΩΝΙΩΝ
5,5/9/2025,ΠΑΡΑΣΚΕΥΗ,9-12,Α.Φ.Ε.,ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΚΑ ΠΕΔΙΑ ΙI
5,9/9/2025,ΤΡΙΤΗ,9-12,Α.Φ.Ε.,ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΩΝ
7,28/8/2025,ΠΕΜΠΤΗ,12-15,ΗΛ5,ΥΨΗΛΕΣ ΤΑΣΕΙΣ
7,28/8/2025,ΠΕΜΠΤΗ,15-18,ΗΛ5,ΣΧΕΔΙΑΣΗ ΟΛΟΚΛΗΡΩΜΕΝΩΝ ΚΥΚΛΩΜΑΤΩΝ Ι
7,28/8/2025,ΠΕΜΠΤΗ,18-21,ΗΛ5,ΜΗΧΑΝΙΚΗ ΜΑΘΗΣΗ
7,29/8/2025,ΠΑΡΑΣΚΕΥΗ,12-15,ΗΛ5,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΚΒΑΝΤΙΚΗ ΗΛΕΚΤΡΟΝΙΚΗ
7,29/8/2025,ΠΑΡΑΣΚΕΥΗ,15-18,ΗΛ5,ΕΦΑΡΜΟΣΜΕΝΗ ΒΕΛΤΙΣΤΟΠΟΙΗΣΗ
7,30/8/2025,ΣΑΒΒΑΤΟ,12-15,ΗΛ5,ΘΕΡΜΙΚΕΣ ΕΓΚΑΤΑΣΤΑΣΕΙΣ
7,30/8/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ5,ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ
7,1/9/2025,ΔΕΥΤΕΡΑ,12-15,ΗΛ5,ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ
7,2/9/2025,ΤΡΙΤΗ,9-12,ΗΛ5,ΑΣΥΡΜΑΤΗ ΔΙΑΔΟΣΗ
7,2/9/2025,ΤΡΙΤΗ,12-15,ΗΛ5,ΓΡΑΦΙΚΑ & ΕΙΚΟΝΙΚΗ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑ
7,2/9/2025,ΤΡΙΤΗ,15-18,ΗΛ5,ΕΛΕΓΧΟΣ ΓΡΑΜΜΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ΣΤΟ ΧΩΡΟ ΚΑΤΑΣΤΑΣΗΣ
7,2/9/2025,ΤΡΙΤΗ,18-21,ΗΛ5,ΑΝΑΛΥΣΗ ΣΗΕ
7,3/9/2025,ΤΕΤΑΡΤΗ,12-15,ΗΛ5,ΗΛΕΚΤΡΟΑΚΟΥΣΤΙΚΗ
7,3/9/2025,ΤΕΤΑΡΤΗ,15-18,ΗΛ5,ΟΠΤΟΗΛΕΚΤΡΟΝΙΚΗ & ΦΩΤΟΝΙΚΗ ΤΕΧΝΟΛΟΓΙΑ
7,4/9/2025,ΠΕΜΠΤΗ,12-15,ΗΛ5,ΕΙΣΑΓΩΓΗ ΣΤΗ ΡΟΜΠΟΤΙΚΗ
7,4/9/2025,ΠΕΜΠΤΗ,15-18,ΗΛ5,ΘΕΩΡΙΑ ΠΛΗΡΟΦΟΡΙΑΣ
7,4/9/2025,ΠΕΜΠΤΗ,18-21,ΗΛ5,ΗΛΕΚΤΡΙΚΑ ΚΙΝΗΤΗΡΙΑ ΣΥΣΤΗΜΑΤΑ Ι
7,5/9/2025,ΠΑΡΑΣΚΕΥΗ,12-15,ΗΛ5,ΗΛΕΚΤΡΟΝΙΚΑ ΙΣΧΥΟΣ I
7,5/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,ΗΛ5,ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΑ ΗΛΕΚΤΡΟΝΙΚΑ & ΗΛΕΚΤΡΟΝΙΚΑ ΥΨΗΛΩΝ ΤΑΧΥΤΗΤΩΝ
7,6/9/2025,ΣΑΒΒΑΤΟ,12-15,ΗΛ5,ΠΡΟΗΓΜΕΝΑ ΜΙΚΡΟΥΠΟΛΟΓΙΣΤΙΚΑ ΣΥΣΤΗΜΑΤΑ
7,6/9/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ5,ΗΛΕΚΤΡΙΚΕΣ ΕΓΚΑΤΑΣΤΑΣΕΙΣ
7,8/9/2025,ΔΕΥΤΕΡΑ,18-21,ΗΛ5,ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ Ι
7,8/9/2025,ΔΕΥΤΕΡΑ,12-15,ΗΛ5,ΦΩΤΟΗΛΕΚΤΡΟΝΙΚΕΣ ΔΙΑΤΑΞΕΙΣ
7,9/9/2025,ΤΡΙΤΗ,12-15,ΗΛ5,ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ
7,9/9/2025,ΤΡΙΤΗ,15-18,ΗΛ5,ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ Ι
7,9/9/2025,ΤΡΙΤΗ,18-21,ΚΥΠΕΣ,ΕΙΣΑΓΩΓΗ ΣΤΑ ΚΥΒΕΡΝΟΦΥΣΙΚΑ ΣΥΣΤΗΜΑΤΑ
7,10/9/2025,ΤΕΤΑΡΤΗ,12-15,ΗΛ5,ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΩΝ
7,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,Σύμφωνα με το πρόγραμμα των Μηχανολόγων,ΕΜΒΙΟΜΗΧΑΝΙΚΗ Ι
7,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,Σύμφωνα με το πρόγραμμα των Η/Υ,ΑΝΑΚΤΗΣΗ ΠΛΗΡΟΦΟΡΙΑΣ
9,28/8/2025,ΠΕΜΠΤΗ,15-18,ΗΛ7,ΕΠΙΚΟΙΝΩΝΙΕΣ ΠΟΛΥΜΕΣΩΝ
9,29/8/2025,ΠΑΡΑΣΚΕΥΗ,15-18,ΗΛ7,ΔΙΑΔΡΑΣΤΙΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ
9,30/8/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ7,ΜΗ ΓΡΑΜΜΙΚΑ ΣΥΣΤΗΜΑΤΑ & ΕΛΕΓΧΟΣ
9,1/9/2025,ΔΕΥΤΕΡΑ,15-18,ΗΛ7,ΤΕΧΝΟΛΟΓΙΑ ΗΛΕΚΤΡΙΚΩΝ ΜΟΝΩΣΕΩΝ & ΝΑΝΟΔΟΜΗΜΕΝΑ ΔΙΗΛΕΚΤΡΙΚΑ
9,1/9/2025,ΔΕΥΤΕΡΑ,18-21,ΗΛ7,ΗΛΕΚΤΡΟΝΙΚΑ ΥΨΗΛΩΝ ΤΑΧΥΤΗΤΩΝ
9,2/9/2025,ΤΡΙΤΗ,15-18,ΗΛ7,ΕΡΓΑΣΤΗΡΙΟ ΕΠΙΚΟΙΝΩΝΙΩΝ ΙΙ
9,2/9/2025,ΤΡΙΤΗ,18-21,ΗΛ7,ΑΣΦΑΛΕΙΑ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΔΙΚΤΥΩΝ
9,3/9/2025,ΤΕΤΑΡΤΗ,15-18,ΗΛ7,ΔΙΑΔΙΚΤΥΟ ΤΩΝ ΠΡΑΓΜΑΤΩΝ
9,3/9/2025,ΤΕΤΑΡΤΗ,18-21,ΗΛ7,ΒΕΛΤΙΣΤΟΣ ΕΛΕΓΧΟΣ ΣΥΣΤΗΜΑΤΩΝ
9,4/9/2025,ΠΕΜΠΤΗ,15-18,ΗΛ7,ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΑ ΔΙΚΤΥΑ ΕΥΡΕΙΑΣ ΖΩΝΗΣ /ΟΠΤΙΚΑ ΔΙΚΤΥΑ
9,5/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,ΗΛ7,ΠΡΟΓΡΑΜΜΑΤΙΖΟΜΕΝΑ ΔΙΚΤΥΑ & ΔΙΑΧΕΙΡΙΣΗ
9,6/9/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ7,ΠΡΟΣΑΡΜΟΣΤΙΚΟΣ ΕΛΕΓΧΟΣ & ΕΝΙΣΧΥΤΙΚΗ ΜΑΘΗΣΗ
9,6/9/2025,ΣΑΒΒΑΤΟ,18-21,ΗΛ7,ΗΛΕΚΤΡΙΚΗ ΟΙΚΟΝΟΜΙΑ
