Semester,Date,Day,Time,Room,Course
2,27/8/2025,ΤΕΤΑΡΤΗ,9-11,ΚΥΠΕΣ Ι & ΙΙ,ΕΞΕΤΑΣΗ ΕΡΓΑΣΤΗΡΙΟΥ ΔΙΑΔΙΚΑΣΤΙΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
2,11/9/2025,ΠΕΜΤΗ,9-12,Α.Φ.Ε.,ΣΥΝΗΘΕΙΣ ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ & ΜΙΓΑΔΙΚΕΣ ΣΥΝΑΡΤΗΣΕΙΣ
2,13/9/2025,ΣΑΒΒΑΤΟ,9-12,Α.Φ.Ε.,ΛΟΓΙΣΜΟΣ ΣΥΝΑΡΤΗΣΕΩΝ ΠΟΛΛΩΝ ΜΕΤΑΒΛΗΤΩΝ & ΔΙΑΝΥΣΜΑΤΙΚΗ ΑΝΑΛΥΣΗ
2,15/9/2025,ΔΕΥΤΕΡΑ,9-15,ΚΥΠΕΣ,ΔΙΑΔΙΚΑΣΤΙΚΟΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ/ΑΡΧΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ
2,17/9/2025,ΤΕΤΑΡΤΗ,9-13,Α.Φ.Ε.,ΕΡΓΑΣΤΗΡΙΟ ΕΦΑΡΜΟΣΜΕΝΗΣ ΦΥΣΙΚΗΣ
2,19/9/2025,ΠΑΡΑΣΚΕΥΗ,9-12,ΗΛ4-ΗΛ5,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΟΥ ΗΜ&ΤΥ
2,22/9/2025,ΔΕΥΤΕΡΑ,9-12,Α.Φ.Ε.,ΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ
2,24/9/2025,ΤΕΤΑΡΤΗ,9-12,Α.Φ.Ε.,ΗΛΕΚΤΡΙΚΑ ΚΥΚΛΩΜΑΤΑ Ι
4,11/9/2025,ΠΕΜΠΤΗ,9-12,ΚΥΠΕΣ,ΤΕΧΝΙΚΟ ΣΧΕΔΙΟ
4,13/9/2025,ΣΑΒΒΑΤΟ,12-15,Α.Φ.Ε.,ΔΙΚΤΥΑ ΕΠΙΚΟΙΝΩΝΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ
4,16/9/2025,ΤΡΙΤΗ,12-15,Α.Φ.Ε.,ΜΙΚΡΟΗΛΕΚΤΡΟΝΙΚΕΣ ΔΙΑΤΑΞΕΙΣ & ΚΥΚΛΩΜΑΤΑ
4,18/9/2025,ΠΕΜΠΤΗ,9-12,ΚΥΠΕΣ,ΑΝΑΛΥΣΗ ΔΙΚΤΥΩΝ ΙΣΧΥΟΣ
4,22/9/2025,ΔΕΥΤΕΡΑ,12-15,Α.Φ.Ε.,ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΚΑ ΠΕΔΙΑ Ι
4,24/9/2025,ΤΕΤΑΡΤΗ,12-15,Α.Φ.Ε.,ΣΗΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ / ΣΗΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ
6,27/8/2025,ΔΕΥΤΕΡΑ,15-18,ΚΥΠΕΣ Ι & ΙΙΙ,ΕΡΓΑΣΤΗΡΙΟ ΣΥΣΤΗΜΑΤΑ ΑΥΤΟΜΑΤΟΥ ΕΛΕΓΧΟΥ
6,11/9/2025,ΠΕΜΠΤΗ,9-12,ΚΥΠΕΣ,ΤΕΧΝΙΚΟ ΣΧΕΔΙΟ
6,12/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,Α.Φ.Ε.,ΣΥΣΤΗΜΑΤΑ ΑΥΤΟΜΑΤΟΥ ΕΛΕΓΧΟΥ/ΨΗΦΙΑΚΑ ΣΥΣΤΗΜΑΤΑ
6,15/9/2025,ΔΕΥΤΕΡΑ,15-21,ΚΥΠΕΣ,ΗΛΕΚΤΡΙΚΕΣ ΜΗΧΑΝΕΣ/ ΗΛΕΚΤΡΙΚΕΣ ΜΗΧΑΝΕΣ I & II
6,17/9/2025,ΤΕΤΑΡΤΗ,15-18,Α.Φ.Ε.,ΑΛΓΟΡΙΘΜΟΙ ΚΑΙ ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ
6,19/9/2025,ΠΑΡΑΣΚΕΥΗ,15-18,Α.Φ.Ε.,ΗΛΕΚΤΡΙΚΕΣ ΜΕΤΡΗΤΙΚΕΣ ΔΙΑΤΑΞΕΙΣ & ΤΕΧΝΙΚΕΣ
6,22/9/2025,ΔΕΥΤΕΡΑ,15-18,Α.Φ.Ε.,ΜΙΚΡΟΥΠΟΛΟΓΙΣΤΙΚΑ ΕΝΣΩΜΑΤΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ
6,24/9/2025,ΤΕΤΑΡΤΗ,15-18,Α.Φ.Ε.,ΟΡΓΑΝΩΣΗ ΥΠΟΛΟΓΙΣΤΩΝ
8,11/9/2025,ΠΕΜΠΤΗ,15-18,ΗΛ4,ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΔΙΚΤΥΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ
8,11/9/2025,ΠΕΜΠΤΗ,18-21,ΗΛ4,ΔΥΝΑΜΙΚΗ & ΕΛΕΓΧΟΣ E-L ΗΛΕΚΤΡΟΜΗΧΑΝΙΚΩΝ
8,12/9/2025,ΠΕΜΠΤΗ,15-18,ΗΛ4,ΘΕΩΡΙΑ ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΗΣ ΚΙΝΗΣΗΣ & ΣΥΣΤΗΜΑΤΑ
8,12/9/2025,ΠΑΡΑΣΚΕΥΗ,18-21,ΗΛ4,ΣΘΕΝΑΡΟΣ ΕΛΕΓΧΟΣ
8,13/9/2025,ΣΑΒΒΑΤΟ,15-18,ΗΛ4,ΗΛΕΚΤΡΙΚΑ ΚΙΝΗΤΗΡΙΑ ΣΥΣΤΗΜΑΤΑ ΙΙ
8,13/9/2025,ΣΑΒΒΑΤΟ,18-21,ΗΛ4,3Δ ΥΠΟΛΟΓΙΣΤΙΚΗ ΟΡΑΣΗ & ΓΕΩΜΕΤΡΙΑ
8,15/9/2025,ΔΕΥΤΕΡΑ,9-12,ΗΛ4,ΠΡΟΣΤΑΣΙΑ ΣΗΕ
8,15/9/2025,ΔΕΥΤΕΡΑ,12-15,ΗΛ4,ΝΑΝΟΗΛΕΚΤΡΟΝΙΚΗ
8,15/9/2025,ΔΕΥΤΕΡΑ,15-18,ΗΛ4,ΥΠΟΛΟΓΙΣΤΙΚΗ ΓΛΩΣΣΟΛΟΓΙΑ
8,16/9/2025,ΤΡΙΤΗ,9-12,ΗΛ3,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΔΙΑΔΙΚΤΥΟΥ
8,16/9/2025,ΤΡΙΤΗ,18-21,ΗΛ4,ΗΠΙΕΣ ΜΟΡΦΕΣ ΕΝΕΡΓΕΙΑΣ
8,17/9/2025,ΤΕΤΑΡΤΗ,15-18,ΗΛ4,ΠΡΟΣΤΑΣΙΑ ΑΠΟ ΥΠΕΡΤΑΣΕΙΣ – ΑΛΕΞΙΚΕΡΑΥΝΑ
8,17/9/2025,ΤΕΤΑΡΤΗ,18-21,ΗΛ4,ΘΕΩΡΙΑ ΚΕΡΑΙΩΝ
8,18/9/2025,ΠΕΜΠΤΗ,9-12,ΗΛ4,ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ ΙΙ
