Semester,Date,Day,Time,Room,Course
1,28/8/2025,THURSDAY,15-18,Α.Φ.Ε.,Linear Algebra
1,30/8/2025,SATURDAY,15-18,Α.Φ.Ε.,Single Variable Functions Calculus
1,1/9/2025,MONDAY,15-18,Α.Φ.Ε.,Applied Physics
1,2/9/2025,TUESDAY,12-15,ΗΛ4,English
1,2/9/2025,TUESDAY,12-15,ΗΛ4,German
1,2/9/2025,TUESDAY,12-15,ΗΛ4,French
1,3/9/2025,WEDNESDAY,15-18,Α.Φ.Ε.,Digital Logic
1,5/9/2025,FRIDAY,15-18,Α.Φ.Ε.,Introduction to Computers
1,8/9/2025,MONDAY,15-19,Α.Φ.Ε.,Modern Physics
3,27/8/2025,WEDNESDAY,13-15,ΚΥΠΕΣ,Digital Circuits and Systems Lab
3,27/8/2025,WEDNESDAY,17-19,ΚΥΠΕΣ,Electrical Circuits I & Electrical Circuits II Lab
3,28/8/2025,THURSDAY,9-15,ΚΥΠΕΣ,Object Oriented Technology
3,30/8/2025,SATURDAY,12-15,Α.Φ.Ε.,Digital Logic Circuits & Systems
3,2/9/2025,TUESDAY,12-15,Α.Φ.Ε.,Probability & Statistics
3,4/9/2025,THURSDAY,9-15,Α.Φ.Ε.,Solid State of Matter
3,8/9/2025,MONDAY,9-12,Α.Φ.Ε.,Electrical Circuits II
3,9/9/2025,TUESDAY,12-15,Α.Φ.Ε.,Partial Diff. Equations & Transforms
5,27/8/2025,WEDNESDAY,11-13,ΚΥΠΕΣ,Communication Systems Lab
5,28/8/2025,THURSDAY,9-12,ΗΛ4,Electrical Power Systems
5,30/8/2025,SATURDAY,9-12,Α.Φ.Ε.,Integrated Electronics
5,1/9/2025,MONDAY,9-12,Α.Φ.Ε.,Numerical Analysis
5,3/9/2025,WEDNESDAY,9-12,Α.Φ.Ε.,Communication Systems
5,5/9/2025,FRIDAY,9-12,Α.Φ.Ε.,Electromagnetic Fields II
5,9/9/2025,TUESDAY,9-12,Α.Φ.Ε.,Signal Processing
7,28/8/2025,THURSDAY,12-15,ΗΛ5,High Voltages
7,28/8/2025,THURSDAY,15-18,ΗΛ5,Integrated Circuits Design I
7,28/8/2025,THURSDAY,18-21,ΗΛ5,Machine Learning
7,29/8/2025,FRIDAY,12-15,ΗΛ5,Introduction to Quantum Electronics
7,29/8/2025,FRIDAY,15-18,ΗΛ5,Applied Optimization
7,30/8/2025,SATURDAY,12-15,ΗΛ5,Thermal Plants
7,30/8/2025,SATURDAY,15-18,ΗΛ5,Data Bases
7,1/9/2025,MONDAY,12-15,ΗΛ5,Computer Architecture
7,2/9/2025,TUESDAY,9-12,ΗΛ5,Wireless Propagation
7,2/9/2025,TUESDAY,12-15,ΗΛ5,Computer Graphics & Virtual Reality
7,2/9/2025,TUESDAY,15-18,ΗΛ5,State-Space Linear Systems Analysis
7,2/9/2025,TUESDAY,18-21,ΗΛ5,Electrical Power Systems Analysis
7,3/9/2025,WEDNESDAY,12-15,ΗΛ5,Electroacoustics
7,3/9/2025,WEDNESDAY,15-18,ΗΛ5,Optoelectronic and Photonic Technology
7,4/9/2025,THURSDAY,12-15,ΗΛ5,Introduction to Robotics
7,4/9/2025,THURSDAY,15-18,ΗΛ5,Information Theory
7,4/9/2025,THURSDAY,18-21,ΗΛ5,Electric Motor Drive Systems I
7,5/9/2025,FRIDAY,12-15,ΗΛ5,Power Electronics Ι
7,5/9/2025,FRIDAY,15-18,ΗΛ5,Telecommunication Electronics & High Frequencies
7,6/9/2025,SATURDAY,12-15,ΗΛ5,Adv. Microcomputers Systems
7,6/9/2025,SATURDAY,15-18,ΗΛ5,Electrical Installations
7,8/9/2025,MONDAY,18-21,ΗΛ5,Digital Communications I
7,8/9/2025,MONDAY,12-15,ΗΛ5,Photoelectronics
7,9/9/2025,TUESDAY,12-15,ΗΛ5,Operating Systems
7,9/9/2025,TUESDAY,15-18,ΗΛ5,Artificial Intelligence I
7,9/9/2025,TUESDAY,18-21,ΚΥΠΕΣ,Introduction to Cyber-Physical Sys.
7,10/9/2025,WEDNESDAY,12-15,ΗΛ5,Digital Signal Processing
7,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,According to the schedule of the Mechanical Engineers,Biomechanics I
7,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,According to the schedule of the Computer Engineers,Information Retrieval
9,28/8/2025,THURSDAY,15-18,ΗΛ7,Multimedia Communications
9,29/8/2025,FRIDAY,15-18,ΗΛ7,Interactive Technologies
9,30/8/2025,SATURDAY,15-18,ΗΛ7,Non Linear Systems & Control
9,1/9/2025,MONDAY,15-18,ΗΛ7,Insulation Tech. & Nanostructured Dielectrics
9,1/9/2025,MONDAY,18-21,ΗΛ7,High Speed Electronics
9,2/9/2025,TUESDAY,15-18,ΗΛ7,Communications Lab. II
9,2/9/2025,TUESDAY,18-21,ΗΛ7,Computer & Network Security
9,3/9/2025,WEDNESDAY,15-18,ΗΛ7,Internet of Things
9,3/9/2025,WEDNESDAY,18-21,ΗΛ7,Optimal Control
9,4/9/2025,THURSDAY,15-18,ΗΛ7,Broadband Networks – Optical Networks
9,5/9/2025,FRIDAY,15-18,ΗΛ7,Programmable Networks & Management
9,6/9/2025,SATURDAY,15-18,ΗΛ7,Adaptive Control & Reinforcement Learning
9,6/9/2025,SATURDAY,18-21,ΗΛ7,Electrical Economy
9,8/9/2025,MONDAY,15-18,ΗΛ7,Integrated Systems Design
9,9/9/2025,TUESDAY,15-18,ΗΛ7,Distributed Real-time Embedded Systems
9,9/9/2025,TUESDAY,18-21,ΗΛ7,Power Electr. with Modern Semiconductor Tech.
